region_name,genre,demand_index,recommendation_rank
경기도 하남시,뮤지컬,0.1483673139362599,3
경기도 화성시,클래식 기악,0.5838877466918667,1
경기도 화성시,무용,0.1672755671622001,2
경기도 화성시,뮤지컬,0.1518342657356117,3
경기도 화성시 동탄구,클래식 기악,0.5732377925430051,1
경기도 화성시 동탄구,무용,0.1752881741619054,2
경기도 화성시 동탄구,뮤지컬,0.15652892738771765,3
경기도 화성시 만세구,클래식 기악,0.5965971186837776,1
경기도 화성시 만세구,무용,0.15795712547477214,2
경기도 화성시 만세구,뮤지컬,0.14593592179172618,3
경기도 화성시 병점구,클래식 기악,0.5858080462166988,1
경기도 화성시 병점구,무용,0.16544134092867555,2
경기도 화성시 병점구,뮤지컬,0.15140636472520178,3
경기도 화성시 효행구,클래식 기악,0.5916541034780454,1
경기도 화성시 효행구,무용,0.16150032811084075,2
경기도 화성시 효행구,뮤지컬,0.14838792512032697,3
경상남도 거제시,클래식 기악,0.5959625874366864,1
경상남도 거제시,무용,0.15932671164565332,2
경상남도 거제시,뮤지컬,0.14478663569410521,3
경상남도 거창군,클래식 기악,0.6243593084601867,1
경상남도 거창군,무용,0.13892239043557056,2
경상남도 거창군,뮤지컬,0.13261982687250257,3
경상남도 고성군,클래식 기악,0.6341597468287103,1
경상남도 고성군,무용,0.1317019332053975,2
경상남도 고성군,뮤지컬,0.12819120114401938,3
경상남도 김해시,클래식 기악,0.5971588306864452,1
경상남도 김해시,무용,0.15802068903767175,2
경상남도 김해시,뮤지컬,0.1448151588831,3
경상남도 남해군,클래식 기악,0.6402215167681583,1
경상남도 남해군,무용,0.12725678874217575,2
경상남도 남해군,뮤지컬,0.12586869397673728,3
경상남도 밀양시,클래식 기악,0.6287712920001661,1
경상남도 밀양시,무용,0.13511338977859144,2
경상남도 밀양시,뮤지컬,0.131135705026145,3
경상남도 사천시,클래식 기악,0.6129607195522965,1
경상남도 사천시,무용,0.1466430102195966,2
경상남도 사천시,뮤지컬,0.13804380453104345,3
경상남도 산청군,클래식 기악,0.6442158069347802,1
경상남도 산청군,무용,0.12418762254567782,2
경상남도 산청군,뮤지컬,0.12396597145567438,3
경상남도 양산시,클래식 기악,0.5988957049733176,1
경상남도 양산시,무용,0.15672452332565523,2
경상남도 양산시,뮤지컬,0.14436283608331082,3
경상남도 의령군,클래식 기악,0.6416100323600151,1
경상남도 의령군,무용,0.12596323233454698,2
경상남도 의령군,뮤지컬,0.12542437185645108,3
경상남도 진주시,클래식 기악,0.6055504878644374,1
경상남도 진주시,무용,0.15176874451955527,2
경상남도 진주시,뮤지컬,0.14174529927362164,3
경상남도 창녕군,클래식 기악,0.63432996026617,1
경상남도 창녕군,무용,0.13139189165266657,2
경상남도 창녕군,뮤지컬,0.1283638210482173,3
경상남도 창원시,클래식 기악,0.6033662624016822,1
경상남도 창원시,무용,0.1531975779094935,2
경상남도 창원시,뮤지컬,0.142602642980417,3
경상남도 창원시 마산합포구,클래식 기악,0.6118340182061212,1
경상남도 창원시 마산합포구,무용,0.14716012164044237,2
경상남도 창원시 마산합포구,뮤지컬,0.13904930843898686,3
