RNUM,TITLE,PERIOD,RELATION,URL,DESCRIPTION,VIEWCOUNT
91,송호섭 클라리넷 독주회,20150227~20150227,"10대 이하 : 0건, 20대 : 7건, 30대 : 6건, 40대 : 1건, 50대 : 2건, 60대 : 0건, 70대 이상 : 0건 )",https://www.sac.or.kr/site/main/show/show_view?SN=22360,"예술의전당 나이대별 예매건수(10대 이하, 20대, 30대, 40대, 50대, 60대, 70대 이상)",
92,미코 프랑크의 시벨리우스 교향곡 2번,20150227~20150227,"10대 이하 : 0건, 20대 : 7건, 30대 : 196건, 40대 : 399건, 50대 : 404건, 60대 : 198건, 70대 이상 : 101건 )",https://www.sac.or.kr/site/main/show/show_view?SN=21490,"예술의전당 나이대별 예매건수(10대 이하, 20대, 30대, 40대, 50대, 60대, 70대 이상)",
93,라세레나타 필하모닉 정기연주회,20150227~20150227,"10대 이하 : 0건, 20대 : 2건, 30대 : 2건, 40대 : 0건, 50대 : 0건, 60대 : 0건, 70대 이상 : 0건 )",https://www.sac.or.kr/site/main/show/show_view?SN=22092,"예술의전당 나이대별 예매건수(10대 이하, 20대, 30대, 40대, 50대, 60대, 70대 이상)",
94,정영안 첼로 독주회,20150228~20150228,"10대 이하 : 0건, 20대 : 1건, 30대 : 0건, 40대 : 0건, 50대 : 0건, 60대 : 1건, 70대 이상 : 0건 )",https://www.sac.or.kr/site/main/show/show_view?SN=22362,"예술의전당 나이대별 예매건수(10대 이하, 20대, 30대, 40대, 50대, 60대, 70대 이상)",
95,오병철 플루트 리사이틀,20150228~20150228,"10대 이하 : 0건, 20대 : 2건, 30대 : 0건, 40대 : 2건, 50대 : 0건, 60대 : 4건, 70대 이상 : 0건 )",https://www.sac.or.kr/site/main/show/show_view?SN=22554,"예술의전당 나이대별 예매건수(10대 이하, 20대, 30대, 40대, 50대, 60대, 70대 이상)",
96,쿤스트 트리오 연주회,20150208~20150208,"10대 이하 : 0건, 20대 : 0건, 30대 : 7건, 40대 : 4건, 50대 : 2건, 60대 : 0건, 70대 이상 : 0건 )",https://www.sac.or.kr/site/main/show/show_view?SN=23897,"예술의전당 나이대별 예매건수(10대 이하, 20대, 30대, 40대, 50대, 60대, 70대 이상)",
97,이현옥 오보에 독주회,20150208~20150208,"10대 이하 : 0건, 20대 : 5건, 30대 : 3건, 40대 : 0건, 50대 : 4건, 60대 : 5건, 70대 이상 : 3건 )",https://www.sac.or.kr/site/main/show/show_view?SN=22076,"예술의전당 나이대별 예매건수(10대 이하, 20대, 30대, 40대, 50대, 60대, 70대 이상)",
98,윤동환 귀국 바이올린 독주회,20150208~20150208,"10대 이하 : 0건, 20대 : 3건, 30대 : 2건, 40대 : 9건, 50대 : 0건, 60대 : 2건, 70대 이상 : 0건 )",https://www.sac.or.kr/site/main/show/show_view?SN=24815,"예술의전당 나이대별 예매건수(10대 이하, 20대, 30대, 40대, 50대, 60대, 70대 이상)",
99,바이올린 박경화 & 피아노 한지현 듀오 리사이틀,20150208~20150208,"10대 이하 : 0건, 20대 : 0건, 30대 : 0건, 40대 : 2건, 50대 : 0건, 60대 : 1건, 70대 이상 : 0건 )",https://www.sac.or.kr/site/main/show/show_view?SN=22328,"예술의전당 나이대별 예매건수(10대 이하, 20대, 30대, 40대, 50대, 60대, 70대 이상)",
100,2015 로랑 코르샤 내한콘서트,20150208~20150208,"10대 이하 : 1건, 20대 : 6건, 30대 : 45건, 40대 : 9건, 50대 : 62건, 60대 : 26건, 70대 이상 : 5건 )",https://www.sac.or.kr/site/main/show/show_view?SN=24785,"예술의전당 나이대별 예매건수(10대 이하, 20대, 30대, 40대, 50대, 60대, 70대 이상)",
